,sepal.length,sepal.width,petal.length,petal.width,variety
137,2,2,3,3,Virginica
84,1,2,2,2,Versicolor
27,1,2,1,1,Setosa
127,2,2,2,3,Virginica
132,2,1,3,3,Virginica
59,1,1,2,2,Versicolor
18,2,3,1,1,Setosa
83,2,1,3,2,Versicolor
61,2,2,2,2,Versicolor
92,2,1,2,2,Versicolor
112,3,2,3,3,Virginica
2,1,2,1,1,Setosa
141,3,2,3,3,Virginica
43,1,2,1,1,Setosa
10,1,3,1,1,Setosa
60,1,1,2,2,Versicolor
116,2,2,3,3,Virginica
144,2,2,3,3,Virginica
119,2,1,3,2,Virginica
108,2,1,3,3,Virginica
69,2,1,2,2,Versicolor
135,3,2,3,3,Virginica
56,2,2,2,2,Versicolor
80,1,1,2,2,Versicolor
123,2,1,2,3,Virginica
133,2,1,3,2,Virginica
106,1,1,2,2,Virginica
146,2,1,3,3,Virginica
50,3,2,2,2,Versicolor
147,2,2,3,3,Virginica
85,2,2,2,2,Versicolor
30,1,2,1,1,Setosa
101,2,1,3,3,Virginica
94,2,1,2,2,Versicolor
64,2,2,2,2,Versicolor
89,1,1,2,2,Versicolor
91,2,2,2,2,Versicolor
125,3,2,3,3,Virginica
48,1,3,1,1,Setosa
13,1,2,1,1,Setosa
111,2,1,3,3,Virginica
95,2,2,2,2,Versicolor
20,1,2,1,1,Setosa
15,2,3,1,1,Setosa
52,3,2,2,2,Versicolor
3,1,2,1,1,Setosa
149,2,2,3,3,Virginica
98,1,1,2,2,Versicolor
6,1,2,1,1,Setosa
68,2,1,2,2,Versicolor
109,3,2,3,3,Virginica
96,2,2,2,2,Versicolor
12,1,2,1,1,Setosa
102,3,2,3,3,Virginica
120,3,2,3,3,Virginica
104,2,2,3,3,Virginica
128,2,1,3,3,Virginica
46,1,3,1,1,Setosa
11,1,2,1,1,Setosa
110,2,2,3,3,Virginica
124,2,2,3,3,Virginica
41,1,1,1,1,Setosa
148,2,2,3,3,Virginica
1,1,2,1,1,Setosa
113,2,1,3,3,Virginica
139,3,2,3,3,Virginica
42,1,2,1,1,Setosa
4,1,2,1,1,Setosa
129,3,2,3,2,Virginica
17,1,2,1,1,Setosa
38,1,2,1,1,Setosa
5,1,3,1,1,Setosa
53,1,1,2,2,Versicolor
143,3,2,3,3,Virginica
105,3,2,3,3,Virginica
0,1,2,1,1,Setosa
34,1,2,1,1,Setosa
28,1,2,1,1,Setosa
55,2,1,2,2,Versicolor
75,2,2,2,2,Versicolor
35,1,2,1,1,Setosa
23,1,2,1,1,Setosa
74,2,2,2,2,Versicolor
31,1,2,1,1,Setosa
118,3,1,3,3,Virginica
57,1,1,2,2,Versicolor
131,3,3,3,3,Virginica
65,2,2,2,2,Versicolor
32,1,3,1,1,Setosa
138,2,2,2,3,Virginica
14,2,3,1,1,Setosa
122,3,1,3,3,Virginica
19,1,3,1,1,Setosa
29,1,2,1,1,Setosa
130,3,1,3,3,Virginica
49,1,2,1,1,Setosa
136,2,2,3,3,Virginica
99,2,1,2,2,Versicolor
82,2,1,2,2,Versicolor
79,2,1,2,2,Versicolor
115,2,2,3,3,Virginica
145,2,2,3,3,Virginica
72,2,1,2,2,Versicolor
77,2,2,3,2,Versicolor
25,1,2,1,1,Setosa
81,1,1,2,2,Versicolor
140,2,2,3,3,Virginica
142,2,1,3,3,Virginica
39,1,2,1,1,Setosa
58,2,2,2,2,Versicolor
88,2,2,2,2,Versicolor
70,2,2,2,3,Versicolor
87,2,1,2,2,Versicolor
36,1,2,1,1,Setosa
21,1,3,1,1,Setosa
9,1,2,1,1,Setosa
103,2,2,3,3,Virginica
67,2,1,2,2,Versicolor
117,3,3,3,3,Virginica
47,1,2,1,1,Setosa
